Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
Capsiate,0.003600879,0.002604811,0.004324236,0.00384845,0.00487348,0.003379339,0.001620748,0.004043596,0.002553214,0.002495471,0.002297889,0.003084647,0.003635791,0.002595653,0.004645164,0.000497249,0.002999506,0.004940339,0.003281163,0.000905436
Cascarillin,0.005970076,0.007056687,0.002974185,0.007810792,0.014587615,0.004125276,0.004292425,0.008370863,0.015113935,0.011713128,0.002947965,0.010714251,0.005699012,0.002143178,0.001849951,0.005636923,0.005421937,0.009212695,0.007438807,0.003968458
Cer(d16:1/PGE2),0.00291561,0.001585718,0.001809767,0.000214247,0.000457386,0.000256702,0.004977539,0.00060425,0.000410595,0.001306456,0.004041204,0.00701088,0.000382763,0.002991923,0.024149943,0.00867774,0.009144775,0.000238897,0.00306102,0.002512324
"Cer(d20:1/22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S))",0.002337103,0.001470211,0.016084318,0.000211799,0.000372545,0.000255688,0.006501862,0.000319963,0.001713634,0.002932444,0.007065429,0.005460841,0.000601667,0.003488456,0.009667824,0.005381056,0.037223774,0.000377612,0.002071623,0.001016525
Cer(d20:1/6 keto-PGF1alpha),0.001712473,0.0018442,0.013569375,0.000668539,0.000423081,0.001997854,0.005742712,0.000327676,0.000654761,0.001345872,0.003744879,0.013084593,0.000808891,0.001990702,0.003891335,0.00600096,0.051190731,0.001630044,0.003042218,0.001091148
Chavicol,0.07346811,0.024556946,0.033540594,0.026574457,0.068792398,0.010905229,0.016388869,0.040056373,0.057257769,0.058075778,0.0219996,0.037802654,0.027378139,0.021991734,0.020546768,0.022854673,0.043501319,0.05808297,0.018539069,0.017352817
Chenodeoxyglycocholate,0.004494675,0.003377614,0.002976187,0.006023277,0.007653787,0.004151493,0.001480672,0.004078055,0.006706636,0.003229924,0.001703169,0.004079655,0.005311807,0.001663582,0.00171985,0.0028786,0.002989847,0.005731313,0.003004314,0.000863363
Chimyl alcohol,0.002631043,0.000834882,0.002235004,0.000218127,0.000127532,0.000145335,0.002142646,0.000191865,0.00104633,0.004634521,0.014891892,0.002930175,0.00043865,0.010387077,0.006710572,0.004319305,0.01042281,0.000928341,0.000872176,0.016106373
Chlorobactene,0.006694231,0.001788165,0.011366413,0.001102183,0.00080927,0.001283127,0.001132707,0.000723514,0.001922221,0.006307704,0.003774549,0.002399402,0.001528433,0.023988631,0.007594045,0.005936431,0.002364493,0.001595446,0.001059509,0.072461101
Cholesterol glucuronide,0.004271931,0.00170162,0.001396315,0.000871621,0.001581127,0.000644014,0.003005375,0.001974525,0.001890648,0.005049631,0.006304473,0.007353861,0.001273773,0.008527204,0.008061754,0.003222518,0.006267117,0.003375641,0.005769986,0.005239712
Cholesterol sulfate,4.815989991,1.531693125,20.02531629,0.236920461,0.12654954,0.184087817,12.06511916,0.220062191,3.265962623,4.037160815,8.976956512,3.845560032,0.981050516,7.135605913,17.37703931,16.09519109,9.446755726,0.538533021,3.150306768,10.73136157
